,Id,Application,Parent Product,Setup Name,Task Category,Value Added Product,Task Type,Task ID,Task Key,Task Name,Task Desc,Effort Days,Vary By Client Size?,Prerequisites,Task Instructions,Additional Information,Task Owners,Distribution list,Ticket Type,Sample Ticket Number,Input to tickets,Helpful Links
47,48,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS47,BPS-PNS-13,Identify the requirements for TRACE reporting (Optional),Confirm with the client if TRACE Report is required. It is optional depending on if client is trading corporate bonds and expects BR to do submission to FINRA,2-5,No,Client must contact the FINRA Operations Group to notify them that Broadridge will perform TRACE submission on their behalf & fill out the appropriate paperwork. Please note that FINRA’s form may also require a signature from a Broadridge Vice President in the Product Management Group., - Determine how the trade is cleared or processed for settlement (the capacity code).,Refer to the TRACE MSRB RTTM document in Helpful links for more information on the setup.,"PNS Product (Reporting and Interfaces) and Development Team
B1cardlib team","PnS Product Team <pns.product@broadridge.com>
PnS Dev <pns2-dev@broadridge.com>
B1/Cardlib Updates <B1CardlibUpdates@broadridge.com>",Metis,,,
48,49,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS48,BPS-PNS-14,Identify the requirements for RTTM Reporting (Optional),Confirm with the client if RTTM Report is required. This is optional depending on if the client requires real time trade matching for municipal and corporate bonds or UITs.,2-5,No,"Gather MQ names and passwords to be used on the MQ transmissions to RTTM.
Broadridge must then fill out Page 1 of this FICC Form on the Client’s behalf, with the appropriate information. ","P&S blotter codes also appear on customer confirmations for disclosure purposes and on various system reports, and are used to identify the role (agency/principal) in which the firm acted on behalf of the customer. They also appear on various system reports and documents to assist in their control. As",Refer to the TRACE MSRB RTTM document in Helpful links for more information on the setup.,"PNS Product (Reporting and Interfaces) and Development Team
B1cardlib team","PnS Product Team <pns.product@broadridge.com>
PnS Dev <pns2-dev@broadridge.com>
B1/Cardlib Updates <B1CardlibUpdates@broadridge.com>",Metis,,,
49,50,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS49,BPS-PNS-15,Identify the requirements for MSRB Reporting (Optional),Confirm with the client if MSRB Report is required. This is optional depending on if the client is trading municipal bonds.,2-5,No,Client to inform MSRB Transaction Reporting Group to notify that BR will perform MSRB submission to RTRS on their behalf.,"executed trades are entered, the system assigns blotter codes (or you can override on trade input).",Refer to the TRACE MSRB RTTM document in Helpful links for more information on the setup.,"PNS Product (Reporting and Interfaces) and Development Team
B1cardlib team","PnS Product Team <pns.product@broadridge.com>
PnS Dev <pns2-dev@broadridge.com>
B1/Cardlib Updates <B1CardlibUpdates@broadridge.com>",Metis,,,
50,51,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS50,BPS-PNS-16,Identify the requirements for ACT/ORF (Optional),"Confirm with the client if ACT/ORF Report is required. This is optional depending on if the client is submitting step-in, step-out or Automatic Give-up (AGU) transactions that require reporting to NASDAQ or FINRA.",2-5,No,,"Pair-off blotters are used to enter customer-to-customer trades, or firm-to-customer trades. The total shares and principal and interest money balances on these trades must always net to zero: buys = sells",Refer to the helpful links for more information on report setup,PNS Product (Reporting and Interfaces) and Development Team,"pns.product@broadridge.com
pns2-dev@broadridge.com",Metis,,,
51,52,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS51,BPS-PNS-17,Identify the requirements for Correspondent clearing submission (Optional),Confirm with the client if Correspondent clearing submission is required. This is optional depending if the client will have 9A/9B agreements for locked-in trade submissions. BR creates flip trades for correspondent clearing.,2-5,No,,Setup a meeting with client to discuss on the Report requirments. Refer to the Correspondent Clearing document in Helpful links for more information on the setup,Refer to the Correspondent Clearing document in Helpful links for more information on the setup,PNS Product (Reporting and Interfaces) and Development Team,"pns.product@broadridge.com
pns2-dev@broadridge.com",,,,
52,53,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS52,BPS-PNS-18,Identify the requirements for Qualified Special Representative (QSR) submission (Optional),Confirm with the client if QSR submission is required. This is optional depending on if the client has QSR agreements with specific brokers.,2-5,No,,Setup a meeting with client to discuss on the Report requirments. Refer to the Helpful links for more information on the setup,Refer to the helpful links for more information on report setup,PNS Product (Reporting and Interfaces) and Development Team,"pns.product@broadridge.com
pns2-dev@broadridge.com",,,,
53,54,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,Y,Core Setup,BPS53,BPS-PNS-19,871m reporting,Confirm with Client if 871m reporting is required from Broadridge,2-5,No,"This is a VAP therefore there is a contract that would need to be signed or added to the MSA
Main B1 is 547725.  Other B1's associated with 871m are: 435066, 547702, 547704, 547705, 547706, 547726, 547727, 547728, 547729, 547745, 547759",Meeting would need to be set up with Andrew Lertora and PnS product to get the process started.  ,,,,,,,
54,55,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS54,BPS-PNS-20,Identify the requirements for DTC-ID submission (Optional),Confirm with the client if they require DTC-ID submission. This is optional depending on if the client has institutional DVP/RVP trading activity (type-9) that requires matching at DTC ITP system.,2-5,No,"DTC instructions need to be setup on N&A which includes IP8/9 instructions and DTC-ID number on the NAD1 screen.
The DTC ID field on NAD1 must not equals 99999.",Setup a meeting with client to discuss on the reporting requirments. Refer to the DTC ID Submission document in Helpful links for more information on the setup,"When setting up a client for DTC ID Submission, make sure that DTCC has provisioned your client for CCF submission.
CCF is the DTCC batch process that will process any DTC ID submissions that were either rejected or not sent in real-time. 
This set-up would be needed in addition to the real-time MQ set-up. 
These are provisions DTC must configure, and do not involve B1 set-up.
Refer to the DTC ID Submission document in Helpful links for more information on the setup",PNS Product (Reporting and Interfaces) and Development Team,"pns.product@broadridge.com
pns2-dev@broadridge.com",Email,,,
55,56,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Internal/External Connectivity,BPS55,BPS-PNS-21,Street Connectivity setup.,Street connectivity Trade Balancing with UTC,5-10,No,"Meeting to be held with DTCC/NSCC client rep, along with the client to ensure their participant number is added to the proper Broadridge files. 
For clients with existing participant numbers, we will typically ask that any files sent to the clients current vendor or proprietary system is copied to the Broadridge mailbox. 
The client must authorize DTCC and NSCC to add the participant to the Broadridge files. ","Once DTCC/NSCC has added our clients participant to existing Broadridge files, the PNS SME should validate that the participant is appearing on the BPS files once confirmed by DTCC. See additional information for main files. 
Ensure the clearing number B1 001000 is turned in QA.
For each different security type/market there are trade balancing start date B1s to be setup.","SIAC 1673 (DSN = BZZZ.SIAC1673.NDME) – Daily Trade Recap (aka NSCC Contract Sheets)
This file is a Daily Trade Recap to show what was compared by trade date
SIAC 2339 (DSN = BZZZ.SIAC2339.NDMS)– Consolidated Trade Summary
Includes CNS Settling Trades, Balance Orders and Cash Adjustments
There are 3 separate files received which are later combined into one cumulative file by PNS, one file is received on T+1 and the other two are received on T+2
SIAC 2024  (DSN = BZZZ.SIAC2024.NDMS) – Accounting Summary
DTC file indicated the net position moved into or out of the DTC Box Location, which must be replicated by BPS into or out of 000-00007-1-1",Conversions Team,,Email/Remedy,,,
56,57,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Internal/External Connectivity,BPS56,BPS-PNS-22,Street Connectivity activities.,"Street connectivity to send / receive activity details - SIAC(NSCC)/FINRA/RTTM , NSCC Contract Sheets (Equities), Consolidated Trade Summary, Accounting Summary, NSCC Contract Sheets (Muni, Corp)",2,No,,Ensure the main SIAC files are received with clients clearing number added to the file,"SIAC 1673 (DSN = BZZZ.SIAC1673.NDME) – Daily Trade Recap (aka NSCC Contract Sheets)
This file is a Daily Trade Recap to show what was compared by trade date
SIAC 2339 (DSN = BZZZ.SIAC2339.NDMS)– Consolidated Trade Summary
Includes CNS Settling Trades, Balance Orders and Cash Adjustments
There are 3 separate files received which are later combined into one cumulative file by PNS, one file is received on T+1 and the other two are received on T+2
SIAC 2024  (DSN = BZZZ.SIAC2024.NDMS) – Accounting Summary
DTC file indicated the net position moved into or out of the DTC Box Location, which must be replicated by BPS into or out of 000-00007-1-1",Conversion Team,,,,,
57,58,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Reports Setup; Internal/external connectivity,BPS57,BPS-PNS-23,Regulatory reportings setup and Queue setup(Optional),Identify and setup the regulatory reportings to FINRA in real time that are requested by the client and setup separate queue based on the need.,5,No,,,,Conversion Team,,,,,
58,59,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS58,BPS-PNS-24,Static - TABL Review,Access TABL in QA and Prod,2,No,,"BPS uses the TABL application for many reasons.  This is a table where different information is housed and can be updated by product.
You need entitlements in order to update/read the table.  
Various tables from a PnS perspective are housed here, examples:
- CURRENCY - See all BPS Currency Code information
- CLRROLE (for DTC ID Submission (BCT31)
- DASHBENT (for GPS) ","To access TABL you will need to go into TCICSQUA to view the QA set up and CBTSST to see the production set up.
From a blank screen you will type in TABL and then follow the options on the screen",,,,,,
59,60,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS59,BPS-PNS-25,Static Table setups - UCUR,Static Table setups - UCUR,2-10,Yes,"Identify the source of Currency rate. (Manual entry, BIOS File or Vendor Rate)","Standard UCUR table does not change from client to client.
To set-up the UCUR table, the PNS SME must go into the UCUR table from BPS Web NEWB(Green screen/GFW/Ops Console) and add a 1.00 conversion rate for each currency that is in scope. Once added, the actual rates will be updated from the next batch forward. Clients may also choose to send in their own rates, or subscribe to vendor rates.
","For Vendor rates, client will need a contract in place and activate B1 501357.
Clients may also choose to send in their own rates which requires BIOS file allocation and JCL change to accept the file. (CMT70).
During the mock/go-live, after performing REQOFF, UCUR table need to be re-set up.

The effort may vary depending how clients send in rates. For example to send a file, Conversions would need to set up the file and CMT70 program to accept it.","Conversion Team
BIOS File Setup: PnS Development Team",,Metis,,,
60,61,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS60,BPS-PNS-26,Static Table setups - AUTR,Static Table setups - AUTR,2-5,Yes,Determine if client requires BPS to automatically append trailer codes on transaction or if client will be sending the trailer codes on transactions.,"Access The AUTR screen from BPS Web NEWB (Green screen or GFW/Ops console)
You will have the ability to add/modify the Account ranges and Trailer codes for client from this screen.
Based on the clients needs, AUTR provides the ability for applying trailer codes based on account/account ranges and securities. You can apply a trailer code to all securities by setting the security number to 9999999 when using account/branch ranges. AUTR updates will take effect in real-time, and trailer codes are applied to trades and visible in TSIQ in real-time as they are processed.","There are two types of trailer codes - Action Trailer codes that drive system functionality and Description Trailer codes which post descriptions/disclosures on confirms and statements. An example of action trailer is 'NF' which suppresses SEC Fee and an example of a description trailer is 'S' for Short Sell. There are System defined description trailer codes and client specific trailer codes. These are defined on the BZZZ.BPT05.TCODES dataset. 
There are also private range Trailer Codes which can be unique to a client.  If this is required for your client you will need to open an Adhoc ITSM record with a member of the new Trailer Code you are adding.  In that member you will need to ensure the new trailer code is not one of the Global trailers which are defined as client 999 (positions  1-3).  In addition you will need to add a P or A in position 12.  The A is for an action trailer and a P is for description. If you update AUTR after trades have already been processed, you will need to modify the transactions or delete them and rebook in order for AUTR to apply the appropriate trailer. ",Conversion Team,,,,,
61,62,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS61,BPS-PNS-27,Static Table setups - BUIS,Static Table setups -  BUIS,2-3,Yes,"Determine if the client has a need to segregate their business by accounts, or in the case of correspondent clearing by different MPID for trade matching/break resolution in Trade Balancing and/or Ascendis P&S.","Access the BUIS table from BPS Web NEWB(Green screen/GFW/Ops Console)

If the client you are converting is a correspondent clearing firm then you will need to use BUIS.  BUIS allows the PnS Trade Balancing System as well as PnSAscendis to match customer (house) trades verus the street in a more accuratley.","The Business Unit Identification System (BUIS) lets you replace your clearing number with a business unit that defines the level at which Broadridge performs a trade break analysis within the P&S Trade Balancing system, PSBL and Ascendis.  This includes the overnight reports.

A business unit is any set of trade activity that can be segregated by data elements from the NSCC Contract Sheets and the OCC Trade Activity file on the streetside (within a client's clearing number). It can also be segregated by branch account ranges on the house side.

Product types that can be defined within this application are equity, fixed income, options, and step outs. You must define business units for all of these product types for all exchanges. Default business units can be defined and used for exchanges that clients have not populated.

The BUIS application is maintained at your firm. FUNCs BUIS and BUIT must be set up in your user profile to access this application. FUNC BUIS provides inquiry capability only; FUNC BUIT provides both inquiry and update capability. In addition, B1 546388 must be activated with the appropriate values.

All BUIS updates must be mirrored in Ascendis in order to ensure trade breaks are routed to the appropriate folder.
",,,,,,
62,63,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS62,BPS-PNS-28,Commission table Identification.,Commission table Identification.,2-10,Yes,,"The OLCU table can only be accessed by a Broadridge associate.  Clients do not have access to this application.
The OLCU application only resides in client 096 in the P stream (CBTSSP) on the mainframe.
If the client is not passing money on their trades to Broadridge and they require commission calculations then you will be required to set up their commission needs in this table.
Please note, if the client does no require Broadridge to calculate their commission, you need to at a minimum set up the ""Mayday"" table in OLCU","Please refer to the OLCU manual located at this link https://broadridge.sharepoint.com/:p:/s/GTO-PMO/OnboardingAI/ES5Vc0v3vcJAl7ZEjjjQtx8BmK-bJ1B24gL_fOqmdFJhEA?e=9RghuU
The schedule permits individual schedules to be defined for virtually any security type: equities (either listed and unlisted), options, corporate bonds, municipal bonds, zero coupon bonds, treasury bills and treasury notes.  It allows for differentiation of electronic Internet trading rates from Broker-Assisted rates.  Each schedule can be further defined by single lot, multi-lot, or under or over $1.00 price.  It can address market orders and limit orders separately and can be driven by exchange code, blotter code, trailer code, or special name and address codes on an individual account level. The rate schedules can be based upon trade price, principal, quantity, or number of orders within a pre-determined time period.
Please note, if the client does no require Broadridge to calculate their commission, you need to at a minimum set up the ""Mayday"" table in OLCU","Conversion Team, PNS-PM",,NA,NA,,https://broadridge.sharepoint.com/:p:/s/GTO-PMO/OnboardingAI/ES5Vc0v3vcJAl7ZEjjjQtx8BmK-bJ1B24gL_fOqmdFJhEA?e=9RghuU
63,64,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Core Setup,BPS63,BPS-PNS-29,Commission table Implementation,Commission table Implementation,2,No,,Standard BR Commision table (OLCU).,"The minimum table that you are required to input is the Mayday table.  This is required even if the client is sending prefigured money on their tradess.
Without populating the Mayday schedule the PnS batch process will abend due to this table not being populated if a trade is passed and not prefigured.",Conversion Team,,,,,
64,65,BPS,Purchase and Sales,Purchase and Sales Setup,Product Setup,N,Internal/External Connectivity,BPS64,BPS-PNS-30,DASH MQ Integration,Review MQ requirements with DASH,2-5,Yes,,Conversion SME will request DASH team to open MQs to accept INTACT records. This will be a metis request. The number of queues may vary depending on the clients volume and/or number of sending systems. The DASH team will make the determination as to how many queues are required based on volume and number of sending systems.,,Dash-Dev,dash-dev@broadridge.com,Metis,,,
65,66,BPS ,Purchase and Sales,Purchase and Sales Setup,VAP Set Up,Y,Project Management,BPS65,BPS-PNS-31,Firm Trade Compression,Contract Identification,1,No,,Check MSA (Master Service Agreement) to ensure the Firm Trade Compression process is part of what has been agreed to by the client ,There should be a separate price in the MSA for the detailed trades and a separate price for the compressed trade as part of the contract.,Conversion Team,,,,,
66,67,BPS,Purchase and Sales,Purchase and Sales Setup,VAP Set Up,Y,B1 Setup,BPS66,BPS-PNS-32,Firm Trade Compression,B1 set up,2-5,Yes,,"The following B1's are part of the Firm Trade Compression process.  
547435 - Accounts eligible for compression
547436 - Blotter codes eligible for compression
546675 - Description on compressed trade","The PnS SME will need to work with the client to properly populate the B1's.
The only securities eligible for Firm Trade Compression are equities and options.
Important to note the maximum amount of trades that can be compressed into a single trade is 99,999.  
If you have a client that does many executions then contact PnS development to ensure your stream is set up for parallezation.  This will allow up to 300,000 trades to be compressed into a single trade.",,,,,,
67,68,BPS,Purchase and Sales,Purchase and Sales Setup,VAP Set Up,Y,Project Management,BPS67,BPS-PNS-33,Identify the requirements for Firm Trade Compression,Set up a meeting with client to discuss requirements ,2-5,Yes,,Explain to the client how the process works.  There is an Onboarding Set-Up document that can be used when discussing Firm Trade Compression with the client,The Onboarding Set-Up Document is titled FIRM TRADE COMPRESSION,,,,,,
68,69,BPS,Purchase and Sales,Purchase and Sales Setup,VAP Set Up,Y,BPSA Set Up,BPS68,BPS-PNS-34,Adding FBIUB204 Category ,File Set Up,10,Yes,,"There is a category in BPSA where the client can see their compressed trades.  The Category is called FBIUB204.  Table name is UPRCHS_SALE_FEE
This is a billable category which requires a Metis to the BPSA group as well as files being created on the mainframe for BPSA.","Sample Metis to use for this set up is 5071181.  Components required for this work is: FBI, Bookkeeping and BPS Advantage
Files that are created by the mainframe will be BIOS.Cnnn.OUT.B204U and BIOS.Cnnn.OUT.TACTU (nnn = client number).
If the client requires using U1 containers 290 - 299 to pass freeform information they intend to extract from BPSA then they must subscribe to the Client Usage Container Data table UCLIENT_U1_DSC_DAT.",,,,,,
69,70,BPS,Purchase and Sales,Purchase and Sales Setup,VAP Set Up,Y,Validation,BPS69,BPS-PNS-35,Client Billing,Validation,5-15,Yes,,Testing and ensuring the correct billing counters are being populated for the detailed and compressed trades.  In addition these should be reviewed with Finance.,"The TRABIL report can be used to ensure the proper billing counters are populated when testing the output of trade compressing.  The Daily TRABIL Report can provide this data.
Billing counters to check:
8093430 - Detailed Customer Trades
8093436 - Detail Trading caaounts
8093483 - Detailed Firm Acct Cross 
",,,,,,
70,71,BPS,Purchase and Sales,Purchase and Sales Setup,VAP Set Up,Y,Reports Set up,BPS70,BPS-PNS-36,TRAC reports setup,Identify Reports related to Firm Trade Compression,1,Yes,,Ensure the appropriate reports for Firm Trade Compression are set up to TRAC,"The following reports are the main reports used for Firm Trade Compression processing:
TRAC - PSBLT, DSN - B***.BPU70,NBLTPI - PnS blotters with compressed trades (no detailed trades)
TRAC - DETBLT, DSN - B***.BPU70.DETLPI - Blotters with detailed trade only
TRAC - TRABIL, DSN - B***.BPU90.RPT1 - Daily billing report with details
TRAC - MTHTRA, DSN - B***.BPU90.RPT2 - Montly billing report",,,,,,
71,72,BPS ,Purchase and Sales,Purchase and Sales Setup,VAP Set Up,Y,Project Management,BPS71,BPS-PNS-37,Average Price Compression,Contract Identification,1,No,,Check MSA (Master Service Agreement) to ensure the Firm Trade Compression process is part of what has been agreed to by the client ,There should be a separate price in the MSA for the detailed trades and a separate price for the compressed trade as part of the contract.,Conversion Team,,,,,
72,73,BPS,Purchase and Sales,Purchase and Sales Setup,VAP Set Up,Y,B1 Setup,BPS72,BPS-PNS-38,Average Price Compression,B1 set up,2-5,Yes,,"The following B1's are used for Average Price Compression.  
547352 - This B1 allows clients to define 
- account ranges eligible for compression 
- 2 byte trailer code that will provide a description on the compressed side of the trade
- 2 byte trailer code that will exclude a trade from being part of a compressed trade that are otherwise eligible
- field where you can create an automatic offset, 
- a field that will check for a pair-off blotter
- 2 byte blotter code if the automatic record generation is chosen
- a field that can be set for automatic correctiong for average price compressed trades
- determine whether or not to use 20 street-side segment limitation
- Indicator to make option trades eligible
- Mark up eligibility
Execution time processing
- Compression type
- Real-time cage submission

547252  - allows client the ability to define: 
- Account ranges for average price flips (to/from ranges)
- 2 byte blotter code
- Average price offset account
- 2 byte blotter code for the offset trade

546675 - allows clients to pick their Source System for average price trade compression
- 2 byte field","Please not there are several other B1's involved when using these 3 B1's.

547352 -  depending on the setting you may need to refer to B1 007360, 579100 and B1 547252.  This B1 also has settings for billing counter numbers.

547252 - use this B1 in conjunction with B1's 546575, 547402 and 547372

547353 - you need to check the values in B1 511149 when setting this B1 up",Conversion Team,,,,,
73,74,BPS,Purchase and Sales,Purchase and Sales Setup,VAP Set Up,Y,Project Management,BPS73,BPS-PNS-39,Identify the requirements for Average Price Compression,Set up a meeting with client to discuss requirements ,2-5,Yes,,Explain to the client how the process works.  There is an Onboarding Set-Up document that can be used when discussing Average Price Compression with the client,The Onboarding Set-Up Document is titled Average Price Compression,,,,,,
74,75,BPS,Purchase and Sales,Purchase and Sales Setup,VAP Set Up,Y,Validation,BPS74,BPS-PNS-40,Client Billing,Validation,5-15,Yes,,Testing and ensuring the correct billing counters are being populated for the detailed and compressed trades.  In addition these should be reviewed with Finance.,"The TRABIL report can be used to ensure the proper billing counters are populated when testing the output of trade compressing.  The Daily TRABIL Report can provide this data.
Billing counters to check:
8094330 - TRD Average PRice Trades
8094116 - Compressed Special Account Trades
8094117 - Individual Special Account Trades
9048790 - TRD Special Account Trades
8094107 - Compressed Customer Trades
8094108 - Individual Customer Trades
9003141 - TRD Customer Trades
",,,,,,
75,76,BPS,Purchase and Sales,Purchase and Sales Setup,VAP Set Up,Y,Reports Set up,BPS75,BPS-PNS-41,TRAC reports setup,Identify Reports related to Average Price Compression,1,Yes,,Ensure the appropriate reports for Firm Trade Compression are set up to TRAC,"The following reports are the main reports used for Average Price Trade Compression processing:
TRAC - PSBLT, DSN - B***.BPU70,NBLTPI - PnS blotters with compressed trades (no detailed trades)
TRAC - COMPR, DSN - B***.BPT30.REPORT - Compressed Trade Report
TRAC - AVGREC, DSN - B***.BMG56.APOAI - Recon
TRAC - TRABIL, DSN - B***.BPU90.RPT1 - Daily billing report with details
TRAC - MTHTRA, DSN - B***.BPU90.RPT2 - Montly billing report",,,,,,
76,77,BPS,MSD,MSD Setup,Product Setup,N,Admin,BPS76,BPS-MSD-1,Client contract with ICE for US client or SVC for Canadian Clients,"Client to have a contract with ICE/SVC to use BR core MSD/pricing services 
",5-7,No,NA,Conversions will work with MSD product/client to ensure ICE contract is in place for core services,,Conversion Team,NA,Email,,,
77,78,BPS,MSD,MSD Setup,Product Setup,N,Admin,BPS77,BPS-MSD-2,Security premium pricing mechanism ,Determine how client want to price the securities,5-10,Yes,NA,Conversion team will explain the process to client with various options on pricing the securities. ,"Client  can either choose to price their own securities by sending the House Price file to BR or they can have a contract for premium pricing services. 

If client opts for premium pricing then they will need to have a contract with the vendor(ICE-US/SVC-Canada). Once Conversions receive an email confirmation from client, conversions will need inform the same the MSD product before the B1's setup.

Vendor prices are only applied to securities held in customer or trading accounts as defined on B1 009120.

MSD will not price securities that do not have either CUSIP or SEDOL.",Conversion Team,NA,Email,,,
78,79,BPS,MSD,MSD Setup,Product Setup,N,Configuration setup,BPS78,BPS-MSD-3,MSD B1 Setup,Setup MSD related B1s based on Client's processing requirements. ,5,Yes,NA,"Conversion team will do a walkthrough of list of B1s . Based on the client requirement, client will select the appropriate B1 options","MSD has several B1's which are called 'Premium Prices'.  The client will need to pay seperately for the use of any B1's mentioned here:
032572, 032790, 032818, 032819 032883, 032884, 032893, 032894, 032915, 032926, 032927, 032928, 032929, 032930, 032931, 032945, 032946, 032949, 032950, 032952, 032953, 032954, 032955, 032956, 032957, 032966, 032975, 435038, 435093, 514200, 529555, 551277.

Other key MSD B1's are as follows:
032956 - Option Pricing
032962 - Dually Listed Cusip
032978 - MSD Ratings
435056 - MSD Permissions
","Conversions, B1/Cardlib updates team",B1/Cardlib Updates <B1CardlibUpdates@broadridge.com>,Email,,,
79,80,BPS,MSD,MSD Setup,Product Setup,N,Reports Setup,BPS79,BPS-MSD-4,TRAC reports setup,Identify all the list of data reports required for client and complete the TRAC setup ,1-3,Yes,NA,"Conversion team will walk through the list of reports . Based on the client business need conversion team will setup required TRAC & update TRAC header. 
To Do:
Copy all the required reports from a existing client to a mainframe member.
Change the client number in positions 21-23 and 78-80
Run the offline edit job to create a offline edit report 
Job - T.HAPAVEM.JOBLIB(TRACEDIT)
Send the clean edit report along with offline edit to B1/Cardlib team.","These are the top 10 reports on TRAC for MSD:
TRAC - CMO, DSN - B***.BSRCMO.RPT - CMO Pricing
TRAC - ADNTRDM, DSN - B***.BSRADN.RPT - Agency Discount Note Pricing
TRAC - BSRCDS, DSN - B***.BSRCDS.RPT - C/D Pricing
TRAC - PRDEL, DSN - B***.BMS29T.RPT - Private Range Activity 
TRAC - A144, DSN - B***.BDV48.REPORT - 144A 
TRAC - MSDDNU, DSN - B***.BMS53.MSDDNU - Do Not USe Securities
TRAC - MSDSCHG, DSN - B***.BMS28.STKRPT - MSD Stock Change
TRAC - MSDBCHG, DSN - B***.BMS28.BNDRPT - MSD Bond Change
TRAC - BRCCOM, DSN - BZZZ.BSD30A.COMPL - MSD Broadcast Completion
TRAC - PRGEALL, DSN - B***.BSD72.ALL.RPT - Purge Eligible Securities
TRAC - MUNPRG, DSN - B***.BSD72.MUN.RPT - Muni Purge Secs with Positions

Reports will be produced based on Securities of Interest which would be defined as securities on stock record at EOD and securities traded in for that business day.","Conversions, B1/Cardlib updates team",B1/Cardlib Updates <B1CardlibUpdates@broadridge.com>,Email,,,
80,81,BPS,MSD,MSD Setup,Product Setup,N,File setup,BPS80,BPS-MSD-5,Inbound & Outbound files identification.,Identify the list of inbound and outbound files required for client. Open a Metis request for MSD Team to create files.,4,Yes,MSD initial B1 setup should be completed.,"Conversion team will walk through the list of inbound & outbound files. Based on the client business need conversion team will finalize the files.

For Inbound files - 
Application Development or Onboarding team allocates file and application development sets up JCL to process file. 
For TIF or TIFI files - 
Files will need to be allocated and TIF panel will need to be updated to make the file required once sending system is sending the file.
Sample Inbound Files - 
1. House Price TIF File if the client chooses to override prices. 
Note: House prices will take precedence over vendor pricing. Manual price updates through MREQ are considered house prices. ","Clients can send in their own house pricing file which can be used to price securities.  Typically these files are named:
TIF.C***.INPHP** (*** = client number and ** after INPHP can be number of file).  An example of this naming convention is TIF.C***.INPHPR1.  This should be made required in the nightly bookkeeping stream batch and the name can only be 17 bytes maximum.
It is also advisable to get permission from MSD Product or ICE on sending any outbound MSD related files to a client or a client's vendor.  Broadridge is contractually obligated to stay within the confines of our contract with ICE on how the ICE information is distributed to our clients.
There are no predefind MSD file that are automatically sent to clients.  Each file is done on a one off basis.
If client is planning to send House Price file, then account number to be used should be lowest in the customer range in B1 card 009120.",MSD Product/Dev team/Conversions,MSD-Product <MSD-Product@broadridge.com>,,,,
81,82,BPS,MSD,MSD Setup,Product Setup,N,Configuration setup,BPS81,BPS-MSD-6,MREQ setup for stale pricing…,,,,,,,,,,,,
82,83,BPS,MSD,MSD BPSA Categories,Product Setup,N,BPSA Categories setup,BPS82,BPS-MSD-7,Validate MSD BPSA Categories are setup,Identify the BPSA Categories required for MSD and security pricing ,4,No,BPSA server setup has to be done,BPSA loads only securities of Interest which would be defined as securities on stock record at EOD and securities traded in for that business day.,"TMSD_BASE                
TSECURITY_DESC           
TSEC_XREF_KEY            
TSEC_TRD_EXCHANGE        
TSEC_PRICE               
TINCOME_DATA             
TFACTOR_RATE             
TSECURITY_RATING         
TCALL_PRICE              
TPUT_PRICE               
TBOND_DATA               
TOPTION_DATA  
TMASTER_SEC_DATA
THOUSE_PRICE
TACCOUNT_SEC_HLDR
Conversion SME to ensure these categories are covered as part of the contract/MSA",BPSA Tech Support,"Group, BPS/A Technical Support <BPS/A@broadridge.com>",Metis,,,
83,84,BPS,MSD,MSD Setup,Product Setup,N,File setup,BPS83,BPS-MSD-8,Mandatory files for vendor price processing,MSD team will need to create stream specific files only if the client is onboarded to a brand new stream or none of the clients in the existing stream are using premium pricing services,5-10,Yes,MSD initial B1 setup should be completed.,Conversions need to make sure TRID-M files are in TIF panel. ,"Files – *** is the stream. 
B***.BSRADN.TRIDM
B***.BSRADR.TRIDM
B***.BSRBEV.TRIDM
B***.BSRCBD.TRIDM
B***.BSRCMO.TRIDM
B***.BSREXT.TRIDM
B***.BSRFNM.TRIDM
B***.BSRGNM.TRIDM
B***.BSRICD.TRIDM
B***.BSRMTN.TRIDM
B***.BSRMUN.TRIDM
B***.BSRNQB.TRIDM
B***.BSRNQ2.TRIDM
B***.BSROPT.TRIDM
B***.BSRSVC.TRIDM",MSD Product/Dev team/Conversions,MSD-Product <MSD-Product@broadridge.com>,Metis,,,
